Timestamp,Are you a Singapore Citizen or Permanent Resident? ,Your age? ,Your profession / job? ,Gender?,Are you intending to migrate to another country in the future? ,"If yes, what is the country that you wish to migrate to? ","If you intend to migrate, what are the factors that have caused you to decide to do so? ","For the options checked in the previous question, would you remain in Singapore if they were addressed? ",Any personal thoughts on why Singaporeans might want to emigrate? 
7/26/2018 20:33:03,Singapore Citizen,18 - 25,English Teacher in Japan,Female,Yes,"I have been in Japan for 2 years. I might not permanently live here but I don't see myself returning to Singapore, except to visit family","Quality of Life, Political Scene, Education, Over-crowding, Government Transparency, Singapore has changed so much. I don't recognise it as the place I ""grew up in"" anymore. ",Maybe,"1. I was an art student. The art education in Singapore is so sad. It's a dumping ground for people who 'cannot study', many lecturers and classmates are just like PAP style - high-handed, selfish, caring about yourself others, appearances mattering more than actual quality. I had a terribly miserable time as a poly and uni student. So so so so miserable. People tried to sabotage my work. They hated that I made nicer art and had better English (how petty!!) Lecturers were afraid we'd steal their jobs. I hated my student life so much. I am glad I am now free from all that bullshit. I nearly failed both poly and uni, and ironically a lot of people agree that I had the better technical skills in art-making than many of my peers. 
2. People in Singapore often have no patience, myself included when I go back to visit. It's the way the country is. Everything must do fast chopchop quality not important unless you are paying top dollar. How can people live like this? Here, whether Japanese or other foreigners, most people are much more empathetic and less bitchy. During natural disasters / bad weather conditions everyone is patient and sympathetic to each other. 
3. Scam and blame culture in Singapore. In Japan, things are really you-pay-for-what-you-get. In Singapore when something is expensive it doesn't always means it will do what it's supposed to! So frustrating. In Singapore, if someone comes up with a scam, the people who were cheated are told they are stupid for not being careful. Here, we blame the actual criminal! The victims get sympathy. 
4. Way of thinking. Singapore is materialistic and people have a defeatist attitude. I'm not interested in following the PAP plotted lifeplan (finish school, get job, apply bto, pay loans, complain things expensive then claim bopian) sorry i don't believe in bopian. After uni i worked part time for 3 months. I had 3k sgd. I bought a one way ticket to Japan. And did job hunting. I make sgd 1.8k-2.6k per month and I'm happier this way. Way happier. If someone hands me a 10k/month job in singapore I will likely turn it down. 
5. Elitism. Singapore is a multiracial society with lots of foreigners, but we have fixed social castes that won't overlap. A Chinese uni grad would never become friends with a construction worker. In Japan there are lots of foreigners here literally from all over the world, and we all came with a general intent to understand culture. Japanese also befriend you for who you are, not what education or job you have. It's so difficult to explain to them the SG system of expats, locals and construction workers. My friends are from everywhere, some came with little money. They do things like cycling 1h30min to avoid paying for transport. You can be anyone from anywhere and be poorer than a 'bangla' or 'maid' in Singapore, but that won't affect if someone becomes friends with you. Being a construction worker isn't looked down on here, it's just a job. Which is how things should be. "
7/26/2018 20:33:10,Singapore Citizen,35 - 45,,Male,Yes,,"Cost of Living, Political Scene, Over-crowding, Government Transparency, Public Social Support",Yes,unlock money in my cpf
7/26/2018 20:42:32,No,25 - 35,Baker,Female,Yes,Australia,Weather,No,Stressful lifestyle 
7/26/2018 20:43:40,Singapore Citizen,45 and above,Admin Staff,Female,No,,,,
7/27/2018 9:16:41,Singapore Citizen,45 and above,House maker,Female,No,,,,
7/27/2018 9:18:23,Singapore Citizen,25 - 35,,Male,No,,,,
7/27/2018 9:26:37,Singapore Citizen,25 - 35,Education,Female,No,,,,Hoping for better life?
7/27/2018 9:26:48,Singapore Citizen,35 - 45,Engineer,Male,Yes,Australia,"Quality of Life, Over-crowding, Weather",Yes,"Getting better bang for buck, bigger living space for same amount of money, higher quality of life "
7/27/2018 9:29:34,Singapore Citizen,25 - 35,Civil servant,Female,Unsure,Korea/Japan ,"Cost of Living, Quality of Life, Weather, Healthcare Issues, Crime / Safety Issues",Maybe,Cost of living 
7/27/2018 9:34:47,Singapore Citizen,25 - 35,Unemployed,Male,No,,,,"They have the impression that the country that they are emigrating to, is better. But their opinion is only looking at the benefits without looking at the hidden costs."
7/27/2018 10:12:05,Singapore Citizen,45 and above,Sales,Male,No,,,,Stress
7/27/2018 11:19:43,Singapore Citizen,25 - 35,,Female,Unsure,Taiwan,Political Scene,Yes, frustrated by the status quo 
7/27/2018 12:17:03,Singapore Citizen,18 - 25,Marketing ,Female,Unsure,New Zealand,"Cost of Living, Over-crowding",Maybe,"1. Scarcity of resources makes rigid rules by the government unavoidable, e.g. housing restrictions because we don’t have enough land. 

2. To seek work opportunities out of the government sector that are scalable.

3. A new culture among millennials that options > stability. "
7/27/2018 12:27:39,Singapore Citizen,25 - 35,full time tutor/entrepreneur,Female,No,,,,it’s too stressful here
7/27/2018 13:27:41,Singapore Citizen,45 and above,Retiree,Male,No,,,,Stress.
7/27/2018 18:24:19,Singapore Citizen,35 - 45,IT,Female,Unsure,New Zealand,"Cost of Living, Quality of Life, Job Opportunities / Salary, Over-crowding, Government Transparency",Yes,They feel like a work horse with no quality of life. 
7/27/2018 19:43:13,Singapore Citizen,25 - 35,Accountant,Male,No,,,,Insufficient Opportunity/Market
7/27/2018 22:28:47,Singapore Citizen,45 and above,,Male,Unsure,Joo,Cost of Living,Yes,
7/28/2018 8:39:09,Singapore Citizen,35 - 45,IT,Female,No,,,,Either they already have sense of belonging with the place from long years of working or they really imagine grass is greener over there without experiencing the bad.
7/28/2018 10:15:16,Singapore Citizen,35 - 45,Homemaker,Female,No,,,,They think the grass is greener anywhere except at where they are.
7/28/2018 13:41:16,Singapore Citizen,25 - 35,Human Resource ,Female,No,,,,Thinking that the grass is greener elsewhere. 
7/28/2018 13:53:48,Singapore Citizen,25 - 35,Teacher,Female,No,,,, Because the pace of life here is too fast and stressful. 
7/28/2018 15:38:20,Singapore Citizen,25 - 35,,Female,No,,,,"-Sick and tired of Singapore and its system. And not willing to take action because you know that nothing will change the system. 
-Want to have broader global perspectives
-Family members or yourself found better job opportunities overseas 
-For children. They may feel that Singapore's education system is too stressful for children. "
7/29/2018 20:12:07,Singapore Citizen,35 - 45,Analyst librarian,Female,No,,,,"I have met people who emigrate and their reasons are : requiring a change in life; Life is too stressful in Singapore and people think it could be better to emigrate; marriage- following the other half; after working overseas for many years, it is natural to want to settle outside Singapore."
